,gen,load,,,,,,,,,,,,,,,,
1,0,0,,,,,CLASSICAL_JACCARD,LLS,ELLS_W,EWDe,DC_PTDF,DC_LOST_CONCAT,TOPO_SNF,DC_SNF,SELECTED_SNF,,,
2,1.23,0,,,,,62,62,9,9,9,3,60,55,62,,,
3,0,0,,,,,10,10,32,8,12,55,61,18,55,,,
4,0,0.63,,,,,61,64,8,32,3,18,11,62,53,,,
5,0,1.1,,,,,60,61,61,61,8,62,10,3,60,,,
6,0,0,,,,,23,60,60,60,55,77,62,23,11,,,
7,0,0.73,,,,,63,23,62,12,32,23,53,77,61,,,
8,0,0,,,,,9,63,10,62,52,57,9,57,10,,,
9,0,0,,,,,64,9,12,10,11,21,5,56,9,,,
10,0,0,,,,,11,25,11,11,7,56,32,21,5,,,
11,0,0,,,,,53,54,7,55,31,44,7,44,23,,,
12,0,0.81,,,,,,,,,,,,,,,,
13,0,0,,,,,,,,,,,,,,,,
14,0,1.18,,,,,3.944115477,,,,,,,,,,,
15,0,1.76,,,,,3.944115477,,,,,,,,,,,
16,0,0,,,,,CLASSICAL_JACCARD,,,,,,,,,,,
17,0,2.67,,,,,62,3.9441,0,,,,,,,,,
18,4.42,0,,,,,10,0,0,,,,,,,,,
19,0,1.02,,,,,61,0,0,,,,,,,,,
20,0,0,,,,,60,0,0.793,,,,,,,,,
21,0,3,,,,,23,2.9628,0,,,,,,,,,
22,0,1.25,,,,,63,0,0,,,,,,,,,
23,2.96,0,,,,,9,0,0,,,,,,,,,
24,0,1.18,,,,,64,0,0,,,,,,,,,
25,0,0,,,,,11,0,0,,,,,,,,,
26,0,0,,,,,53,0,1.9824,,,,,,,,,
27,0,0,,,,,TOPO_SNF,,,,EWDe,,,,,,Final,
28,0,0,,,,,60,0,0.793,,9,0,0,,,,Lost load,
29,0,1.08,,,,,61,0,0,,8,0,0,,,,25.17,0.77
30,0.66,0,,,,,11,0,0,,32,0,1.7964,,,,25.17,0.77
31,0,0,,,,,10,0,0,,61,0,0,,,,11.91,0.37
32,0,1.8,,,,,62,3.9441,0,,60,0,0.793,,,,12.13,0.37
33,1.02,0,,,,,53,0,1.9824,,12,0,0.8071,,,,9.25,0.28
34,0,0.83,,,,,9,0,0,,62,3.9441,0,,,,4.91,0.15
35,0,0,,,,,5,0,1.0993,,10,0,0,,,,4.08,0.13
36,0,0,,,,,32,0,1.7964,,11,0,0,,,,4.08,0.13
37,0,0,,,,,7,0,0.7256,,55,5.0025,0,,,,4.08,0.13
38,0,0,,,,,DC_SNF,,,,ELLS_W,,,,,,,
39,0,1.02,,,,,55,5.0025,0,,9,0,0,,,,,
40,0,0,,,,,18,4.4245,0,,32,0,1.7964,,,,,
41,0,0,,,,,62,3.9441,0,,8,0,0,,,,,
42,0,0.73,,,,,3,0,0,,61,0,0,,,,,
43,0,0.7,,,,,23,2.9628,0,,60,0,0.793,,,,,
44,0,1.02,,,,,77,3.7696,0,,62,3.9441,0,,,,,
45,0,0,,,,,57,2.7165,0,,10,0,0,,,,,
46,0,0.9,,,,,56,2.3494,0,,12,0,0.8071,,,,,
47,0,0,,,,,21,0,3,,11,0,0,,,,,
48,0,0,,,,,44,0,1.0181,,7,0,0.7256,,,,,
49,0,0.83,,,,,DC_LOST_CONCAT,,,,,,,,,,,
50,0,0.78,,,,,3,0,0,,,,,,,,,
51,0,0,,,,,55,5.0025,0,,,,,,,,,
52,0,0,,,,,18,4.4245,0,,,,,,,,,
53,0,1.98,,,,,62,3.9441,0,,,,,,,,,
54,0,0,,,,,77,3.7696,0,,,,,,,,,
55,5,0,,,,,23,2.9628,0,,,,,,,,,
56,2.35,0,,,,,57,2.7165,0,,,,,,,,,
57,2.72,0,,,,,21,0,3,,,,,,,,,
58,0,0,,,,,56,2.3494,0,,,,,,,,,
59,0,0,,,,,44,0,1.0181,,,,,,,,,
60,0,0.79,,,,,,,,,,,,,,,,
61,0,0,,,,,,,,,,,,,,,,
62,3.94,0,,,,,,,,,,,,,,,,
63,0,0,,,,,,,,,,,,,,,,
64,0,0,,,,,,,,,,,,,,,,
65,0,0,,,,,,,,,,,,,,,,
66,0.82,0,,,,,,,,,,,,,,,,
67,1.08,0,,,,,,,,,,,,,,,,
68,0,0,,,,,,,,,,,,,,,,
69,0,0,,,,,,,,,,,,,,,,
70,0,2.1,,,,,,,,,,,,,,,,
71,0,1.49,,,,,,,,,,,,,,,,
72,0,0,,,,,,,,,,,,,,,,
73,0,0,,,,,,,,,,,,,,,,
74,0,0,,,,,,,,,,,,,,,,
75,0.99,0,,,,,,,,,,,,,,,,
76,0,0,,,,,,,,,,,,,,,,
77,3.77,0,,,,,,,,,,,,,,,,
78,1.66,0,,,,,,,,,,,,,,,,
79,0,1.26,,,,,,,,,,,,,,,,
80,0,0,,,,,,,,,,,,,,,,
